1,1,37,3,3,1367150,452,452,1
1,1,33,3,4,1425000,436,449,1
1,1,41,2,4,1922400,489,394,1
1,1,30,6,17,1652000,623,367,3
1,1,31,1,5,1740000,578,380,4
1,1,30,5,5,1650000,560,510,5
1,1,37,2,12,1745000,661,169,3
1,1,31,9,17,1504955,667,201,2
1,1,31,3,5,1380000,675,217,2
1,1,34,7,8,1900000,666,181,2
0,1,33,7,9,1870000,658,237,2
1,1,39,2,11,2100000,611,454,1
0,1,42,14,14,1650000,466,577,5
1,1,37,3,4,2150000,476,349,1
1,1,30,1,5,1290000,627,76,1
0,1,46,10,14,2550000,666,181,2
0,1,38,5,9,2250000,667,178,2
1,1,36,9,10,2735000,584,529,6
1,1,37,2,3,1800000,528,408,1
1,1,35,8,12,1850000,686,206,2
0,1,34,3,3,1600000,611,73,1
0,1,41,5,10,2400000,516,514,5
0,1,36,4,5,1310000,518,159,1
1,1,40,2,9,2250000,500,525,5
0,1,42,7,17,1950000,635,217,2
1,1,43,4,4,2150000,547,441,6
1,1,38,7,9,1800000,472,565,5
0,1,34,4,4,2000000,457,371,1
0,1,32,9,9,1830000,599,528,6
1,1,30,5,5,1290000,618,345,4
1,1,43,8,16,1835000,686,150,2
1,1,24,4,5,950000,644,187,2
0,1,14,1,5,800000,643,186,2
1,1,42,1,3,2020800,421,326,1
1,1,41,2,10,2120000,665,179,2
1,1,33,3,4,1425000,436,449,1
1,1,40,4,6,1290000,683,125,2
1,1,32,5,5,1720000,560,382,3
1,1,31,1,5,1300000,633,352,4
1,1,30,1,5,1249000,671,225,2
1,1,30,2,5,1390000,684,230,2
1,1,46,1,8,2350000,558,456,6
1,1,39,7,16,1870000,688,152,2
1,1,38,17,17,1748000,618,459,6
1,1,35,1,2,1500000,558,378,3
1,1,41,3,3,1900000,510,177,1
1,1,18,3,5,980000,643,186,2
1,1,31,5,5,2180000,554,354,3
1,1,30,6,9,1620000,446,359,1
1,1,42,9,10,2400000,581,544,5
1,1,33,1,9,1490000,449,333,1
1,1,44,2,5,2250000,485,597,5
1,1,30,4,5,1650000,472,620,5
1,1,35,2,4,1450000,664,431,6
1,1,31,3,5,1500000,534,507,5
1,1,25,2,9,1050000,566,544,5
1,1,42,6,6,1638000,683,125,2
0,1,42,5,12,2300000,560,527,5
1,1,29,5,6,1200000,588,507,6
1,1,34,3,3,1300000,591,625,6
0,1,38,8,9,2400000,549,560,5
1,1,31,2,5,1630000,590,386,3
1,1,41,2,8,2947900,579,393,3
1,1,32,3,4,1374000,651,203,2
1,1,37,11,17,2021600,624,368,3
1,1,40,9,17,2149200,623,367,3
1,1,42,2,5,1730000,466,313,1
1,1,39,4,16,1906100,554,514,5
1,1,31,2,5,1400000,691,188,2
1,1,30,3,9,1250000,658,230,2
0,1,39,3,12,2290000,586,347,4
1,1,27,1,3,1300000,441,339,1
1,1,44,5,12,2370000,447,339,1
1,1,44,5,16,1835000,686,150,2
1,1,38,2,3,1500000,590,625,5
1,1,39,9,17,1710420,550,524,1
1,1,31,8,9,1600000,479,547,5
1,1,18,1,5,850000,450,460,1
0,1,38,5,9,1800000,445,323,1
1,1,34,5,5,1850000,462,588,5
0,1,32,2,5,1720000,538,457,5
0,1,35,1,9,1760000,480,568,5
1,1,30,9,9,1920000,563,381,3
0,1,22,2,9,1250000,652,191,2
1,1,18,1,5,800000,644,187,2
0,1,43,10,10,2700000,669,202,2
1,1,29,1,1,650000,544,578,5
0,1,18,2,5,1080000,450,460,1
1,1,35,2,9,1780000,668,218,2
0,1,42,1,2,1800000,482,553,5
0,1,31,1,9,1590000,659,224,2
1,1,34,6,10,1650000,668,181,2
1,1,39,4,10,2300000,616,445,6
0,1,34,3,10,2199000,676,176,2
1,1,32,1,4,1250000,612,85,1
0,1,37,2,8,2350000,670,193,2
0,1,46,13,14,1950000,482,583,5
0,1,22,6,9,1190000,479,302,1
1,1,38,2,17,1748000,619,460,6
1,1,30,3,9,1350000,611,82,1
0,1,33,2,9,1800000,482,583,5
0,1,44,4,18,2300000,450,342,1
1,1,31,1,5,1150000,416,654,5
1,1,39,6,18,1860000,591,537,6
1,1,42,14,16,2030400,554,514,5
1,1,34,2,4,1529100,994,-361,2
1,1,41,17,17,2091000,624,368,4
1,1,31,3,5,1550000,457,314,1
1,1,31,5,5,1350000,559,534,5
1,1,22,1,9,1090000,444,313,1
1,1,41,1,5,1895000,426,318,1
1,1,41,2,4,2550000,427,316,1
0,1,34,4,5,1750000,672,115,2
1,1,34,2,2,1200000,541,528,5
1,1,42,3,3,1830000,458,371,1
0,1,43,6,12,2000000,447,339,1
1,1,32,7,9,1600000,570,555,5
1,1,40,2,18,1850000,688,152,2
0,1,32,5,5,1600000,582,543,6
0,1,31,1,5,1250000,649,210,2
1,1,40,1,9,1650000,491,544,5
0,1,44,3,9,2300000,496,516,5
1,1,40,9,10,1950000,678,156,2
1,1,43,6,16,1834000,686,150,2
0,1,40,3,5,2150000,671,142,2
1,1,36,11,18,1940000,636,208,2
1,1,49,5,17,2150000,637,185,2
1,1,35,2,4,1365000,731,313,5
1,1,35,4,4,1420000,731,313,6
1,1,42,10,16,2100000,635,217,2
1,1,34,2,4,1650000,512,493,5
1,1,39,3,3,1900000,389,372,1
1,1,32,1,12,1700000,479,596,5
1,1,38,9,9,1750000,470,567,5
0,1,45,4,16,2300000,430,359,1
1,1,22,2,9,1030000,479,302,1
1,1,33,1,9,1570000,453,345,1
1,1,9,2,4,1047600,426,370,1
1,1,36,1,4,1630000,698,85,2
1,1,43,4,5,2600000,553,495,
1,1,52,3,3,2400000,452,352,1
1,1,38,6,17,1862000,618,459,6
1,1,54,3,5,2484000,411,366,1
1,1,35,6,12,2190000,443,303,1
1,1,30,1,5,1380000,525,206,1
1,1,30,5,5,1300000,609,458,6
1,1,32,2,9,1450000,661,219,2
1,1,38,1,9,1800000,441,339,1
0,1,36,1,2,1550000,588,382,4
0,1,38,2,9,2000000,445,319,1
1,1,37,7,18,1800000,556,534,5
1,1,14,1,5,860000,643,186,2
0,1,34,4,5,1750000,672,115,2
1,1,30,1,10,1350000,485,593,5
1,1,43,4,10,2200000,670,193,2
1,1,31,2,4,1300000,623,464,6
1,1,40,6,6,1520000,683,125,2
1,1,22,9,9,1230000,703,210,2
1,1,35,5,10,2200000,516,611,5
1,1,31,2,5,1400000,606,348,4
1,1,41,1,2,3100000,520,386,3
1,1,31,1,9,1500000,613,463,6
1,1,46,8,10,2060000,604,529,6
1,1,41,4,5,1850000,660,420,6
0,1,31,1,5,1750000,572,547,5
0,1,36,3,12,2088000,586,351,4
1,1,30,5,5,1400000,682,228,2
0,1,43,1,4,1750000,602,462,6
1,1,46,9,18,2376000,552,349,4
0,1,32,2,3,970000,601,617,5
1,1,42,1,3,1596000,498,333,1
0,1,42,9,10,2700000,545,487,5
1,1,43,6,8,1677000,683,125,2
0,1,26,3,3,1300000,618,463,3
1,1,32,1,9,1450000,682,160,2
1,1,58,1,4,2204380,412,358,1
1,1,9,1,5,1300000,679,221,2
1,1,22,5,9,960000,699,214,2
1,1,43,4,6,2303100,521,446,5
1,1,30,4,5,1580000,661,231,2
1,1,32,3,5,2250000,554,382,3
1,1,43,10,10,2300000,559,548,5
